Day,Date,Austria,Belgium,Czechia,France,Germany,Greece,Ireland,Italy,Netherlands,Poland,Portugal,Romania,Spain,Switzerland,UK
0,10/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,11/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,12/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,13/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,14/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,15/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,16/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,17/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,18/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,19/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,20/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,21/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,22/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,23/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,24/01/2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,25/01/2020,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
16,26/01/2020,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
17,27/01/2020,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
18,28/01/2020,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0
19,29/01/2020,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0
20,30/01/2020,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0
21,31/01/2020,0,0,0,6,5,0,0,2,0,0,0,0,0,0,0
22,01/02/2020,0,0,0,6,7,0,0,2,0,0,0,0,1,0,2
23,02/02/2020,0,0,0,6,8,0,0,2,0,0,0,0,1,0,2
24,03/02/2020,0,0,0,6,10,0,0,2,0,0,0,0,1,0,2
25,04/02/2020,0,0,0,6,12,0,0,2,0,0,0,0,1,0,2
26,05/02/2020,0,1,0,6,12,0,0,2,0,0,0,0,1,0,2
27,06/02/2020,0,1,0,6,12,0,0,2,0,0,0,0,1,0,2
28,07/02/2020,0,1,0,6,13,0,0,3,0,0,0,0,1,0,3
29,08/02/2020,0,1,0,6,14,0,0,3,0,0,0,0,1,0,3
30,09/02/2020,0,1,0,11,14,0,0,3,0,0,0,0,1,0,3
31,10/02/2020,0,1,0,11,14,0,0,3,0,0,0,0,2,0,4
32,11/02/2020,0,1,0,11,14,0,0,3,0,0,0,0,2,0,8
33,12/02/2020,0,1,0,11,16,0,0,3,0,0,0,0,2,0,8
34,13/02/2020,0,1,0,11,16,0,0,3,0,0,0,0,2,0,9
35,14/02/2020,0,1,0,11,16,0,0,3,0,0,0,0,2,0,9
36,15/02/2020,0,1,0,11,16,0,0,3,0,0,0,0,2,0,9
37,16/02/2020,0,1,0,12,16,0,0,3,0,0,0,0,2,0,9
38,17/02/2020,0,1,0,12,16,0,0,3,0,0,0,0,2,0,9
39,18/02/2020,0,1,0,12,16,0,0,3,0,0,0,0,2,0,9
40,19/02/2020,0,1,0,12,16,0,0,3,0,0,0,0,2,0,9
41,20/02/2020,0,1,0,12,16,0,0,3,0,0,0,0,2,0,9
42,21/02/2020,0,1,0,12,16,0,0,3,0,0,0,0,2,0,9
43,22/02/2020,0,1,0,12,16,0,0,9,0,0,0,0,2,0,9
44,23/02/2020,0,1,0,12,16,0,0,76,0,0,0,0,2,0,9
45,24/02/2020,0,1,0,12,16,0,0,124,0,0,0,0,2,0,9
46,25/02/2020,0,1,0,12,16,0,0,229,0,0,0,0,2,0,13
47,26/02/2020,2,1,0,12,18,0,0,322,0,0,0,0,2,1,13
48,27/02/2020,2,1,0,18,21,1,0,400,0,0,0,1,12,1,13
49,28/02/2020,4,1,0,38,26,3,0,650,1,0,0,1,25,6,16
50,29/02/2020,5,1,0,57,57,3,0,888,2,0,0,3,32,10,20
51,01/03/2020,10,1,0,100,57,3,1,1128,7,0,0,3,45,18,23
52,02/03/2020,10,1,3,100,129,7,1,1689,13,0,0,3,45,24,36
53,03/03/2020,18,8,3,191,157,7,1,2036,18,0,2,3,114,30,39
54,04/03/2020,24,8,5,212,196,7,2,2502,28,1,2,4,151,37,51
55,05/03/2020,37,23,5,282,262,9,2,3089,38,1,7,4,198,56,89
56,06/03/2020,47,50,12,420,534,32,14,3858,82,1,9,6,257,86,118
57,07/03/2020,66,109,12,613,639,32,18,4636,128,5,13,7,374,209,167
58,08/03/2020,104,169,26,706,795,66,19,5883,188,6,21,13,430,264,210
59,09/03/2020,112,200,32,1116,1112,73,21,7375,265,11,30,15,589,332,277
60,10/03/2020,131,239,38,1402,1139,73,24,9172,321,16,30,15,1024,332,323
61,11/03/2020,182,267,61,1774,1296,89,34,10149,382,22,41,25,1639,491,373
62,12/03/2020,302,314,94,2269,1567,98,43,12462,503,44,41,48,2140,645,460
63,13/03/2020,361,314,116,2860,2369,98,70,15113,614,49,41,48,2965,858,594
64,14/03/2020,504,599,150,3640,3062,98,90,17660,804,64,112,64,4231,1125,802
65,15/03/2020,800,689,214,4469,3795,228,129,21157,959,111,112,123,5753,1359,1144
66,16/03/2020,959,1085,298,5380,4838,331,169,24747,1135,150,245,158,7753,2200,1395
67,17/03/2020,1132,1085,383,6573,6012,331,223,27980,1413,150,331,158,9191,2200,1547
68,18/03/2020,1332,1486,434,7652,7156,387,292,31506,1705,246,448,184,11178,2650,1954
69,19/03/2020,1646,1486,522,9043,8198,418,292,35713,2051,287,642,246,13716,3010,2630
70,20/03/2020,1843,1795,694,10877,10999,418,557,41035,2460,325,785,260,17147,3863,3277
71,21/03/2020,2649,2257,904,12475,18323,495,683,47021,2994,425,1020,308,19980,4840,3983
72,22/03/2020,3024,2815,995,14296,21463,530,785,53578,3631,536,1280,367,24926,6077,5018
73,23/03/2020,3631,3401,1165,15821,24774,624,906,59138,4204,634,1600,433,28572,6971,5687
74,24/03/2020,4486,3743,1236,19615,29212,695,1125,63927,4749,749,2060,576,33089,8015,6654
75,25/03/2020,5282,4269,1394,22025,31554,743,1329,69176,5560,901,2362,762,39673,8789,8081
76,26/03/2020,5888,4937,1654,24920,36508,821,1564,74386,6412,1051,2995,906,47610,9714,9533
77,27/03/2020,7029,6235,2062,28786,42288,892,1819,80539,7431,1221,3544,1029,56188,10714,11662
78,28/03/2020,7697,7284,2279,32542,48582,966,2121,86498,8603,1389,4268,1292,64059,12104,14547
